title,description,genres
Judy,Legendary performer Judy Garland arrives in London in the winter of 1968 to perform a series of sold-out concerts.,"Biography, Drama, Romance"
Always Be My Maybe,"Everyone assumed that Sasha and Marcus would wind up together, except for Sasha and Marcus. Reconnecting after 15 years, the two start to wonder--maybe?","Comedy, Romance"
Walk Hard: The Dewey Cox Story,Singer Dewey Cox overcomes adversity to become a musical legend.,"Comedy, Music"
Motherless Brooklyn,"In 1950s New York, a lonely private detective afflicted with Tourette's Syndrome ventures to solve the murder of his mentor and only friend.","Crime, Drama, Mystery"
Exam,"Eight candidates for a highly desirable corporate job are locked together in an exam room and given a final test with just one seemingly simple question. However, it doesn't take long for confusion to ensue and tensions to unravel.","Crime, Horror, Mystery"
Hanna,"A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives.","Action, Adventure, Drama"
Before We Go,Two strangers stuck in Manhattan for the night grow into each other's most trusted confidants when an evening of unexpected adventure forces them to confront their fears and take control of their lives.,"Comedy, Drama, Romance"
"Don't Worry, He Won't Get Far on Foot","On the rocky path to sobriety after a life-changing accident, John Callahan discovers the healing power of art, willing his injured hands into drawing hilarious, often controversial cartoons, which bring him a new lease on life.","Biography, Comedy, Drama"
The Thomas Crown Affair,"A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective.","Crime, Romance, Thriller"
Storks,"Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby.","Animation, Adventure, Comedy"
Selena,"The true story of Selena, a Texas-born Tejano singer who rose from cult status to performing at the Astrodome, as well as having chart-topping albums on the Latin music charts.","Biography, Drama, Music"
The Score,An aging thief hopes to retire and live off his ill-gotten wealth when a young kid convinces him into doing one last heist.,"Action, Crime, Drama"
Trouble with the Curve,"A daughter tries to remedy her dysfunctional relationship with her ailing father, a decorated baseball scout, by helping him in a recruiting trip which could be his last.","Drama, Sport"
Bringing Out the Dead,"Haunted by the patients he failed to save, a monumentally burned-out Manhattan ambulance paramedic fights to maintain his sanity over three increasingly turbulent nights.","Drama, Thriller"
The Last Dragon,"In New York City, a young man searches for a Master to obtain the final level of martial arts mastery known as the Glow.","Action, Comedy, Drama"
Superman II,"Superman agrees to sacrifice his powers to start a relationship with Lois Lane, unaware that three Kryptonian criminals he inadvertently released are conquering Earth.","Action, Adventure, Sci-Fi"
Brother Bear,"When a young Inuit hunter needlessly kills a bear, he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back.","Animation, Adventure, Comedy"
The American President,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway.","Comedy, Drama, Romance"
Skin,"A destitute young man, raised by racist skinheads and notorious among white supremacists, turns his back on hatred and violence to transform his life, with the help of a black activist and the woman he loves.","Biography, Crime, Drama"
Madagascar 3: Europe's Most Wanted,"The Madagascar animals join a struggling European circus to get back to New York, but find themselves being pursued by a psychotic animal-control officer.","Animation, Adventure, Comedy"
What If,"Wallace, who is burned out from a string of failed relationships, forms an instant bond with Chantry, who lives with her longtime boyfriend. Together, they puzzle out what it means if your best friend is also the love of your life.","Comedy, Romance"
Dan in Real Life,A widower finds out the woman he fell in love with is his brother's girlfriend.,"Comedy, Drama, Romance"
To Die For,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,"Comedy, Crime, Drama"
eXistenZ,A game designer on the run from assassins must play her latest virtual reality creation with a marketing trainee to determine if the game has been damaged.,"Horror, Mystery, Sci-Fi"
The Witches,"A young boy stumbles onto a witch convention and must stop them, even after he has been turned into a mouse.","Adventure, Comedy, Family"
Worth,"An attorney in Washington D.C. battles against cynicism, bureaucracy and politics to help the victims of 9/11.","Biography, Drama, History"
Adventureland,"In the summer of 1987, a college graduate takes a 'nowhere' job at his local amusement park, only to find it's the perfect course to get him prepared for the real world.","Comedy, Drama, Romance"
The Prince of Tides,A troubled man talks to his suicidal sister's psychiatrist about their family history and falls in love with her in the process.,"Drama, Romance"
Escape from Pretoria,"Based on the real-life prison break of two political captives, Escape From Pretoria is a race-against-time thriller set in the tumultuous apartheid days of South Africa.","Biography, Crime, Mystery"
Street Kings,"An undercover cop, disillusioned by the death of his wife, is implicated in the murder of an officer and must struggle to clear himself.","Action, Crime, Thriller"
The Last Full Measure,"Thirty-four years after his death, Airman William H. ""Pits"" Pitsenbarger is awarded the nation's highest military honor for his actions on the battlefield.","Drama, War"
Shin Godzilla,Japan is plunged into chaos upon the appearance of a giant monster.,"Action, Drama, Horror"
One Hour Photo,A mentally unstable photo developer targets an upper middle-class family after his obsession with them becomes more sick and disturbing than any of them could imagine.,"Drama, Thriller"
Freeway,"A twisted take on ""Little Red Riding Hood"", with a teenage juvenile delinquent on the run from a social worker travelling to her grandmother's house and being hounded by a charming, but sadistic, serial killer and pedophile.","Crime, Drama, Thriller"
Young Sherlock Holmes,"When assorted people start having inexplicable delusions that lead to their deaths, a teenage Sherlock Holmes decides to investigate.","Adventure, Fantasy, Mystery"
Odd Thomas,"In a California desert town, a short-order cook with clairvoyant abilities encounters a mysterious man with a link to dark, threatening forces.","Comedy, Fantasy, Horror"
Now and Then,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,"Comedy, Drama, Romance"
The Ghost and the Darkness,A bridge engineer and an experienced old hunter begin a hunt for two lions after they start attacking local construction workers.,"Adventure, Drama, Thriller"
Inland Empire,"As an actress begins to adopt the persona of her character in a film, her world becomes nightmarish and surreal.","Drama, Fantasy, Mystery"
The Family Man,"A fast-lane investment broker, offered the opportunity to see how the other half lives, wakes up to find that his sports car and girlfriend have become a mini-van and wife.","Comedy, Drama, Fantasy"
I'm Not There,"Ruminations on the life of Bob Dylan, where six characters embody a different aspect of the musician's life and work.","Biography, Drama, Music"
The Map of Tiny Perfect Things,"Two teens live the same day repeatedly, enabling them to create a map of things to remember.","Comedy, Fantasy, Romance"
The Stanford Prison Experiment,"In 1971, twenty-four male students are selected to take on randomly assigned roles of prisoners and guards in a mock prison situated in the basement of the Stanford psychology building.","Biography, Drama, History"
Set It Off,"Desperation drives four inner-city women to bank robbery in Los Angeles, then they start mistrusting each other.","Action, Crime, Drama"
Dead Calm,"After a tragedy, John Ingram and his wife Rae are spending some time isolated at sea, when they come across a stranger who has abandoned a sinking ship.","Horror, Thriller"
The Rescuers Down Under,R.A.S. agents Miss Bianca and Bernard race to Australia to save a little boy and a rare golden eagle from a murderous poacher.,"Animation, Adventure, Comedy"
The Crucible,A Salem resident attempts to frame her ex-lover's wife for being a witch in the middle of the 1692 witchcraft trials.,"Drama, History"
Horton Hears a Who!,Horton the Elephant struggles to protect a microscopic community from his neighbors who refuse to believe it exists.,"Animation, Adventure, Comedy"
Ginger Snaps,"Two death-obsessed sisters, outcasts in their suburban neighborhood, must deal with the tragic consequences when one of them is bitten by a deadly werewolf.","Drama, Fantasy, Horror"
Spies in Disguise,"When the world's best spy is turned into a pigeon, he must rely on his nerdy tech officer to save the world.","Animation, Action, Adventure"
Beast,A troubled woman living in an isolated community finds herself pulled between the control of her oppressive family and the allure of a secretive outsider suspected of a series of brutal murders.,"Crime, Drama, Mystery"
Florence Foster Jenkins,"The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice.","Biography, Comedy, Drama"
Bleed for This,"The inspirational story of World Champion Boxer Vinny Pazienza who, after a near fatal car crash which left him not knowing if he'd ever walk again, made one of sports' most incredible comebacks.","Biography, Drama, Sport"
Untamed Heart,A waitress hardly notices a shy busboy who secretly loves her; until one night she's attacked and he comes to her rescue. From there a relationship sparks but one secret could mean disaster for these fated lovers.,"Drama, Romance"
Hit: The First Case,"Vikram is a 32-year-old cop. While he is battling with his own traumatic past, the stakes get high when a girl called Preethi mysteriously disappears in Hyderabad and Vikram has to solve the case at any cost.","Action, Crime, Drama"
Tenacious D in the Pick of Destiny,"To become the greatest band of all time, two slacker, wannabe-rockers set out on a quest to steal a legendary guitar pick that gives its holders incredible guitar skills, from a maximum security Rock and Roll museum.","Adventure, Comedy, Music"
Man Up,"A single woman takes the place of a stranger's blind date, which leads to her finding the perfect boyfriend.","Comedy, Drama, Romance"
Enemy Mine,"During a long space war, the lives of two wounded enemies become dependent on their ability to forgive and to trust.","Action, Adventure, Drama"
Elizabeth: The Golden Age,"A mature Queen Elizabeth endures multiple crises late in her reign including court intrigues, an assassination plot, the Spanish Armada, and romantic disappointments.","Biography, Drama, History"
Ice Age 2: The Meltdown,"Manny, Sid and Diego discover that the ice age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny is not in fact the last of the woolly mammoths.","Animation, Adventure, Comedy"
Danger Close: The Battle of Long Tan,"In August 1966, in a Vietnamese rubber plantation called Long Tan, 108 young and inexperienced Australian and New Zealand soldiers are fighting for their lives against 2500 North Vietnamese and Viet Cong soldiers.","Action, Drama, War"
Jay and Silent Bob Strike Back,"The comic ""Bluntman and Chronic"" is based on real-life stoners Jay and Silent Bob, so when they get no profit from a big-screen adaptation, they set out to wreck the movie.",Comedy
Mr. Peabody & Sherman,"The time-travelling adventures of an advanced canine and his adopted son, as they endeavor to fix a time rift they created.","Animation, Adventure, Comedy"
Creepshow,"Five grisly tales from a kid's comic book about a murdered father rising from his grave, a bizarre meteor, a vengeful husband, a mysterious crate's occupant, and a plague of cockroaches.","Comedy, Fantasy, Horror"
The Exception,"A German soldier tries to determine if the Dutch resistance has planted a spy to infiltrate the home of Kaiser Wilhelm in Holland during the onset of World War II, but falls for a young Jewish Dutch woman during his investigation.","Drama, Romance, War"
The First Time,A shy senior and a down-to-earth junior fall in love over one weekend.,"Comedy, Drama, Romance"
22 July,"A three-part story of Norway's worst terrorist attack in which over seventy people were killed. 22 July looks at the disaster itself, the survivors, Norway's political system and the lawyers who worked on this horrific case.","Crime, Drama, History"
Bugsy Malone,The classic gangster story of Bugsy Malone told with an all-child cast.,"Comedy, Crime, Family"
"See No Evil, Hear No Evil","Dave is deaf, and Wally is blind. They witness a murder, but it was Dave who was looking at her, and Wally who was listening.","Comedy, Crime"
El mariachi,A traveling mariachi is mistaken for a murderous criminal and must hide from a gang bent on killing him.,"Action, Crime, Thriller"
Bernie,"In small-town Texas, an affable mortician strikes up a friendship with a wealthy widow, though when she starts to become controlling, he goes to great lengths to separate himself from her grasp.","Biography, Comedy, Crime"
Swan Song,"In the near future, a terminally ill man explores a heart wrenching, emotionally complex solution to save his wife and son from grief by duplicating himself without them knowing.","Drama, Romance, Sci-Fi"
Wildlife,A teenage boy must deal with his mother's complicated response after his father temporarily abandons them to take a menial and dangerous job.,Drama
The Brood,"A man tries to uncover an unconventional psychologist's therapy techniques on his institutionalized wife, amidst a series of brutal murders.","Horror, Sci-Fi"
Coffy,A sexy black nurse takes vigilante justice against inner-city drug dealers after her sister becomes their latest victim.,"Action, Crime, Thriller"
Fantastic Voyage,"A scientist is nearly assassinated. In order to save him, a submarine is shrunken to microscopic size and injected into his bloodstream with a small crew. Problems arise almost as soon as they enter it.","Adventure, Family, Sci-Fi"
The Diary of a Teenage Girl,A teen artist living in 1970s San Francisco enters into an affair with her mother's boyfriend.,"Comedy, Drama, Romance"
Serial Mom,"She's the perfect all-American parent: a great cook and homemaker, a devoted recycler, and a woman who'll literally kill to keep her children happy.","Comedy, Crime, Thriller"
Zombie Flesh Eaters,Strangers searching for a young woman's missing father arrive at a tropical island where a doctor desperately seeks the cause and cure of a recent epidemic of the undead.,Horror
Sea of Love,A detective investigating a series of murders becomes involved with a woman who may be the culprit.,"Crime, Drama, Mystery"
The Boys in the Band,"At a birthday party in 1968 New York, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths.",Drama
Green Zone,Discovering covert and faulty intelligence causes a U.S. Army officer to go rogue as he hunts for Weapons of Mass Destruction in an unstable region.,"Action, Drama, Thriller"
The Boxtrolls,A young orphaned boy raised by underground cave-dwelling trash collectors tries to save his friends from an evil exterminator.,"Animation, Adventure, Comedy"
Tristan + Isolde,An affair between the second in line to Britain's throne and the princess of the feuding Irish spells doom for the young lovers.,"Action, Drama, Romance"
Quick Change,"Three thieves successfully rob a New York City bank, but making the escape from the city proves to be almost impossible.","Comedy, Crime"
Harsh Times,A tough-minded drama about two friends in South Central Los Angeles and the violence that comes between them.,"Action, Crime, Drama"
Ondine,An Irish fisherman discovers a woman in his fishing net whom his precocious daughter believes to be a selkie.,"Drama, Mystery, Romance"
Thunderheart,A young mixed-blood FBI agent is assigned to work with a cynical veteran investigator on a murder on a poverty-stricken Sioux reservation.,"Crime, Mystery, Thriller"
Night of the Living Dead,"When the unburied dead return to life and seek human victims, seven refugees shelter in a house in the Pennsylvanian countryside.",Horror
Joe,"An ex-con, who is the unlikeliest of role models, meets a 15-year-old boy and is faced with the choice of redemption or ruin.","Crime, Drama"
My Beautiful Laundrette,An ambitious Pakistani Briton and his white boyfriend strive for success and hope when they open a glamorous laundromat.,"Comedy, Drama, Romance"
Foul Play,"A shy San Francisco librarian and a bumbling cop fall in love as they solve a crime involving albinos, dwarves, and the Catholic Church.","Comedy, Mystery, Thriller"
Lost and Delirious,"After starting at an upmarket boarding school, a teenage girl forms close friendships with her two older roommates. However, when she discovers that her new friends are lovers she finds herself caught in a complicated situation.","Drama, Romance"
Battle of the Bulge,A dramatization of Nazi Germany's final Western Front counterattack of World War II.,"Drama, History, War"
House on Haunted Hill,"A millionaire offers $10,000 to five people who agree to be locked in a large, spooky, rented house overnight with him and his wife.","Crime, Horror, Mystery"
Beyond the Lights,"The pressures of fame have superstar singer Noni on the edge, until she meets Kaz, a young cop who works to help her find the courage to develop her own voice and break free to become the artist she was meant to be.","Drama, Music, Romance"
Dead Again,"A woman who has lost her memory is taken in by a Los Angeles orphanage, and a private eye is enlisted to track down her identity, but he soon finds that he might have a past life connection to her that endangers their lives.","Crime, Drama, Mystery"
Hitchcock,The relationship between Alfred Hitchcock and his wife Alma Reville during the filming of Psycho (1960) in 1959 is explored.,"Biography, Drama, Romance"
Three Steps Above Heaven,A privileged woman and a reckless man fall in love despite their different social classes.,"Action, Drama, Romance"
The Wild Geese,A British banker hires a group of British mercenaries to rescue a deposed African President from the hands of a corrupt African dictator.,"Action, Adventure, Drama"
Fellini Satyricon,A series of disjointed mythical tales set in first-century Rome.,"Drama, Fantasy"
Eliza Graves,"An Oxford graduate takes up a job in a mental asylum, only to discover that the ""revolutionary"" new treatments are inhumane, and that there is more going on than meets the eye.","Drama, Horror, Mystery"
Kodachrome,"Set during the final days of the admired photo development system known as Kodachrome, a father and son hit the road in order to reach the Kansas photo lab before it closes its doors for good.",Drama
Bottle Shock,"The story of the early days of California wine making featuring the now infamous, blind Paris wine tasting of 1976 that has come to be known as ""Judgment of Paris"".","Comedy, Drama"
The Idiots,"The group of people gather at the house in Copenhagen suburb to break all the limitations and to bring out the ""inner idiot"" in themselves.","Comedy, Drama"
We Own the Night,A New York City nightclub manager tries to save his brother and father from Russian Mafia hitmen.,"Action, Crime, Drama"
A Christmas Carol,"An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.","Animation, Adventure, Comedy"
Truth,"Newsroom drama detailing the 2004 CBS 60 Minutes report investigating then-President George W. Bush's military service, and the subsequent firestorm of criticism that cost anchor Dan Rather and producer Mary Mapes their careers.","Biography, Drama, History"
Magic,A ventriloquist is at the mercy of his vicious dummy while he tries to renew a romance with his high school sweetheart.,"Drama, Horror"
Bugsy,"The story of how Benjamin ""Bugsy"" Siegel started Las Vegas.","Biography, Crime, Drama"
The Importance of Being Earnest,"In 1890s London, two friends use the same pseudonym (""Ernest"") for their on-the-sly activities. Hilarity ensues.","Comedy, Drama, Romance"
Poolhall Junkies,"A talented pool hustler who has stayed out of the game for years, must go back to his old ways when his little brother gets involved with his enemy, the very man who held him back from greatness.","Comedy, Drama, Sport"
Fair Game,CIA operative Valerie Plame discovers her identity is allegedly leaked by the government as payback for an op-ed article her husband wrote criticizing the Bush administration.,"Biography, Drama, Thriller"
A Prayer Before Dawn,The true story of an English boxer incarcerated in one of Thailand's most notorious prisons as he fights in Muay Thai tournaments to earn his freedom.,"Action, Biography, Crime"
Rise of the Footsoldier,The life of career criminal Carlton Leach.,"Action, Biography, Crime"
Spider,"A mentally disturbed man takes residence in a halfway house. His mind gradually slips back into the realm created by his illness, where he replays a key part of his childhood.","Drama, Mystery, Thriller"
Jersey Boys,The story of four young men from the wrong side of the tracks in New Jersey who came together to form the iconic 1960s rock group The Four Seasons.,"Biography, Drama, Music"
Victoria & Abdul,Queen Victoria strikes up an unlikely friendship with a young Indian clerk named Abdul Karim.,"Biography, Comedy, Drama"
Anonymous,"The theory that it was in fact Edward De Vere, Earl of Oxford, who penned Shakespeare's plays. Set against the backdrop of the succession of Queen Elizabeth I and the Essex rebellion against her.","Drama, Thriller"
Ms .45,"A timid and mute seamstress goes insane after being attacked and raped twice in one day, in which she takes to the streets of New York City after dark and randomly shoots men with a .45 caliber pistol.","Crime, Drama, Thriller"
Beavis and Butt-Head Do America,"Our intrepid adolescent heroes wake up to find their beloved television stolen, and embark on an epic journey across America to recover it, and, who knows, maybe even score.","Animation, Adventure, Comedy"
Oliver Twist,"An adaptation of the classic Dickens tale, where an orphan meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master.","Crime, Drama"
Slaughterhouse-Five,Billy Pilgrim has mysteriously become unstuck in time. He goes on an uncontrollable trip back and forth from his birth in New York to life on a distant planet and back again to the horrors of the 1945 fire-bombing of Dresden.,"Comedy, Drama, Sci-Fi"
Stranger by the Lake,"Summertime. A cruising spot for men, tucked away on the shores of a lake. Franck falls in love with Michel, an attractive, potent and lethally dangerous man. Franck knows this but wants to live out his passion anyway.","Drama, Romance, Thriller"
Rendition,"When a terrorist bombing in North Africa kills 19 incl. an American, an Egyptian chemical engineer flying from South Africa to his wife in USA, is arrested upon arriving USA. He disappears. His wife asks senator for help.","Drama, Thriller"
Six Degrees of Separation,"An affluent New York City couple finds their lives touched, intruded upon, and compelled by a mysterious young black man who is never quite who he says he is.","Comedy, Drama, Mystery"
The Mustang,"While participating in a rehabilitation program training wild mustangs, a convict at first struggles to connect with the horses and his fellow inmates, but he learns to confront his violent past as he soothes an especially feisty horse.",Drama
Mr. Holmes,"An aged, retired Sherlock Holmes deals with dementia, as he tries to remember his final case, and a mysterious woman, whose memory haunts him. He also befriends a fan, the young son of his housekeeper, who wants him to work again.","Drama, Mystery"
Simon Birch,A young boy with stunted growth is convinced that God has a great purpose for him.,"Comedy, Drama, Family"
Bell Book and Candle,"A modern-day witch likes her neighbor but despises his fiancée, so she enchants him to love her instead.","Comedy, Fantasy, Romance"
The East,An operative for an elite private intelligence firm finds her priorities changing dramatically after she is tasked with infiltrating an anarchist group known for executing covert attacks upon major corporations.,"Crime, Drama, Thriller"
Salmon Fishing in the Yemen,A fisheries expert is approached by a consultant to help realize a sheik's vision of bringing the sport of fly-fishing to the desert and embarks on an upstream journey of faith and fish to prove the impossible possible.,"Comedy, Drama, Romance"
Brittany Runs a Marathon,A young woman decides to make positive changes in her life by training for the New York City Marathon.,"Comedy, Drama"
The Mechanic,An aging hitman befriends a young man who wants to be a professional killer. Eventually it becomes clear that someone has betrayed them.,"Action, Crime, Thriller"
Middle Men,"Chronicles Jack Harris, one of the pioneers of Internet commerce, as he wrestles with his morals and struggles not to drown in a sea of con men, mobsters, drug addicts, and porn stars.","Comedy, Crime, Drama"
Who Am I?,"A Secret Agent loses his memory after falling from a crashing helicopter. He is then chased by several other agency operatives, but he has no idea why.","Action, Adventure, Comedy"
She's Gotta Have It,Story of a woman and her three lovers.,"Comedy, Romance"
Black 47,"Set in Ireland during the Great Famine, the drama follows an Irish Ranger who has been fighting for the British Army abroad, as he abandons his post to reunite with his family.","Action, Drama, History"
A Perfect Day,A group of aid workers work to resolve a crisis in an armed conflict zone.,"Comedy, Drama, War"
Sunshine Cleaning,"In order to raise the tuition to send her young son to private school, a mom starts an unusual business -- a biohazard removal/crime scene clean-up service -- with her unreliable sister.","Comedy, Drama"
The Muppets Take Manhattan,Kermit and his friends go to New York City to get their musical on Broadway only to find it's a more difficult task than they anticipated.,"Adventure, Comedy, Drama"
Intermission,"A variety of losers in Dublin have harrowingly farcical intersecting stories of love, greed and violence.","Comedy, Crime, Drama"
The Skeleton Twins,"Having both coincidentally cheated death on the same day, estranged twins reunite with the possibility of mending their relationship.","Comedy, Drama, Romance"
The Life Ahead,"In seaside Italy, a Holocaust survivor with a daycare business takes in a 12-year-old street kid who recently robbed her.",Drama
Under the Shadow,"As a mother and daughter struggle to cope with the terrors of the post-revolution, war-torn Tehran of the 1980s, a mysterious evil begins to haunt their home.","Drama, Fantasy, Horror"
The Burning Plain,A drama with a two-tiered storyline concerning a mother and daughter who try to form a bond after the young woman's difficult childhood.,"Crime, Drama, Romance"
Year of the Dragon,A police detective cracks down on organized crime in Chinatown after the murders of Triad and Mafia leaders.,"Action, Crime, Drama"
The Football Factory,"An insight on the gritty life of a bored male, Chelsea football hooligan who lives for violence, sex, drugs & alcohol.","Crime, Drama, Sport"
Family Plot,A phony psychic/con artist and her taxi driver/actor boyfriend encounter a pair of serial kidnappers while trailing a missing heir in California.,"Comedy, Crime, Drama"
Toc Toc,The adventures and misadventures of a group of patients with OCD appointed at the same time.,Comedy
Clouds of Sils Maria,A film star comes face-to-face with an uncomfortable reflection of herself while starring in a revival of the play that launched her career.,Drama
Bulworth,A suicidally disillusioned liberal politician puts a contract out on himself and takes the opportunity to be bluntly honest with his voters by affecting the rhythms and speech of hip-hop music and culture.,"Comedy, Drama, Romance"
Mr. Turner,"An exploration of the last quarter century of the great, if eccentric, British painter J.M.W. Turner's life.","Biography, Drama, History"
Sidney Hall,"Sidney Hall finds accidental success and unexpected love at an early age, then disappears without a trace.","Drama, Mystery, Romance"
The Falcon and the Snowman,The true story of a disillusioned military contractor employee and his drug pusher childhood friend who became walk-in spies for the Soviet Union.,"Biography, Crime, Drama"
Deadly Pursuit,An F.B.I. Agent teams up with a tracker to pursue a murderer after he vanishes into the mountains and infiltrates a hiking group.,"Action, Adventure, Crime"
Other People,"A struggling comedy writer, fresh off a breakup and in the midst of the worst year of his life, returns to Sacramento to care for his dying mother.","Comedy, Drama"
The Upside of Anger,"When her husband unexpectedly disappears, a sharp-witted suburban wife and her daughters juggle their mom's romantic dilemmas and family dynamics.","Comedy, Drama"
Dead Snow 2,"Still on the run from a group of Nazi zombies, a man seeks the aid of a group of American zombie enthusiasts, and discovers new techniques for fighting the zombies.","Action, Comedy, Fantasy"
Chisum,Cattle baron John Chisum joins forces with Billy the Kid and Pat Garrett to fight the Lincoln County land war.,"Biography, Western"
Patti Cake$,"PATTI CAKE$ is centered on aspiring rapper Patricia Dombrowski, a.k.a. Killa P, a.k.a. Patti Cake$, who is fighting an unlikely quest for glory in her downtrodden hometown in New Jersey.","Drama, Music"
Until the End of the World,"In 1999, Claire's life is forever changed after she survives a car crash. She rescues Sam and starts traveling around the world with him. Writer Eugene follows them and writes their story, as a way of recording dreams is being invented.","Action, Drama, Sci-Fi"
Quartet,"At a home for retired musicians, the annual concert to celebrate Composer Giuseppe Verdi's birthday is disrupted by the arrival of Jean (Dame Maggie Smith), an eternal diva and the former wife of one of the residents.","Comedy, Drama, Music"
It's Only the End of the World,"Louis (Gaspard Ulliel), a terminally ill writer, returns home after a long absence to tell his family that he is dying.",Drama
Nothing to Hide,"3.5 couples meet for dinner party. The men have known each other for decades. During dinner they play a game of sharing texts, calls, e-mails etc. by placing all 7 cell phones on the table. Unexpected results as all have secrets.","Comedy, Drama"
How to Marry a Millionaire,"Three women set out to find eligible millionaires to marry, but find true love in the process.","Comedy, Drama, Romance"
Miss You Already,The friendship between two life-long girlfriends is put to the test when one starts a family and the other falls ill.,"Comedy, Drama, Romance"
To Be or Not to Be,"At the onset of WW2, a Polish actor's family and the Polish Resistance help the troupe of a theatre escape Poland and the invading Nazis.","Comedy, Drama, War"
Veronica Guerin,An Irish journalist writes a series of stories about drug dealers.,"Biography, Crime, Drama"
Dolphin Tale,A story centered on the friendship between a boy and a dolphin whose tail was lost in a crab trap.,"Drama, Family"
Dead Men Don't Wear Plaid,Film noir parody with a detective uncovering a sinister plot. Characters from real noirs appear as scenes from various films are intercut.,"Comedy, Crime, Mystery"
La ragazza nella nebbia,Special agent Vogel is sent to an isolated town in a remote mountain valley to investigate the case of a sixteen years old's disappearance.,"Crime, Drama, Mystery"
The War Wagon,"The story of a man who was shot, robbed and imprisoned who returns to steal a large gold shipment from the man who wronged him. The gold is transported in an armored stage coach, the War Wagon.",Western
Dreamer: Inspired by a True Story,"Cale Crane catalyzes the rescue and rehabilitation of Sonador, a race horse with a broken leg.","Drama, Family, Sport"
Ink,"A mysterious creature, known as Ink, steals a child's soul in hopes of using it as a bargaining chip to join the Incubi - the group of supernatural beings responsible for creating nightmares.","Action, Drama, Fantasy"
Rooster Cogburn,Marshal Rooster Cogburn unwillingly teams up with Eula Goodnight to track down her father's murderers.,"Adventure, Drama, Western"
Tetro,"Bennie travels to Buenos Aires to find his long-missing older brother, a once-promising writer who is now a remnant of his former self. Bennie's discovery of his brother's near-finished play might hold the answer to understanding their shared past and renewing their bond.",Drama
Attack,Witness the rise of an army soldier as he realizes his destiny and comes to terms to becoming India's first super soldier created to combat terrorists as he fights his inner demons and outer enemies.With lots of action,"Action, Sci-Fi, Thriller"
Taxidermia,"Three generations of men, including a pervert that constantly seeks for new kinds of satisfaction, an obese speed eater and a passionate embalmer.","Comedy, Drama, Horror"
DuckTales the Movie: Treasure of the Lost Lamp,"Scrooge McDuck takes Huey, Dewey, and Louie to Egypt to find a pyramid and magic lamp.","Animation, Adventure, Comedy"
Keeping Mum,"A pastor preoccupied with writing the perfect sermon fails to realize that his wife is having an affair, and his children are up to no good.","Comedy, Crime"
Night Train to Lisbon,Swiss Professor Raimund Gregorius (Jeremy Irons) abandons his lectures and buttoned-down life to embark on a thrilling adventure that will take him on a journey to the very heart of himself.,"Mystery, Romance, Thriller"
Chandigarh Kare Aashiqui,"Manu, a bodybuilder from Chandigarh, India, falls in love with Maanvi, a Zumba teacher. All seems well until a revelation causes turmoil in their love story.","Comedy, Crime, Drama"
Flashbacks of a Fool,A fading Hollywood star looks back at the days of his youth as he returns home from his best friend's funeral.,Drama
Indignation,"In 1951, Marcus, a working-class Jewish student from New Jersey, attends a small Ohio college, where he struggles with sexual repression and cultural disaffection, amid the ongoing Korean War.","Drama, Romance"
Heaven & Earth,"During the Vietnam War, a Vietnamese woman struggles hustling on the streets, where she comes face to face with those involved in the conflict around her.","Action, Biography, Drama"
The History Boys,"An unruly class of gifted and charming teenage boys are taught by two eccentric and innovative teachers, as their headmaster pushes for them all to get accepted into Oxford or Cambridge.","Comedy, Drama, Romance"
The Thieves,"After a heist in South Korea, a gang of 5+1 fly to Hong Kong to look into a heist, in a Macau casino, of a $30M diamond, planned by someone unreliable. He brings in HK thieves as well. Can anyone be trusted?","Action, Comedy, Crime"
Music of the Heart,Story of a schoolteacher's struggle to teach violin to inner-city Harlem kids.,"Drama, Music"
The Gods Must Be Crazy 2,"Six people meet in the Kalahari desert: a female NYC lawyer flying with a local zoologist/pilot in a mini-plane, a Cuban and an African soldier taking each other POW, a Boer elephant poacher, and a Bushman looking for his two children.",Comedy
Kafka,"Kafka works during the day at an insurance company, where events lead him to discover a mysterious underground society with strange suppressive goals.","Drama, Mystery, Sci-Fi"
An Ideal Husband,"London 1895: Cabinet minister, Sir Chiltern, and bachelor, Lord Goring, are victims of scheming women.","Comedy, Romance"
I Want You,"The sequel of Three Meters Above The Sky, starts with the return of H to his hometown where reconnecting with the past means struggle and also a new love.","Drama, Romance"
